source,content
"FAAO 7110.65 3-11-1","During an emergency, the tower controller acts as the communication link between the incident commander on the ground and the air traffic system. The controller can relay requests for additional equipment or personnel and provide updates on the status of the airfield to other aircraft and facilities."
"AIM 6-4-1","If a pilot loses communication while being vectored for an approach, they are expected to fly direct to the fix specified in the vector clearance. Once at the fix, they should fly the published instrument approach procedure. The controller should anticipate this and keep the approach course clear of other traffic."
"FAAO 7110.65 9-2-13","Aerial refueling operations are conducted in specific tracks or anchors. These are treated as moving SUAs. The controller must ensure that non-participating aircraft are separated from the tanker and receiver aircraft by the prescribed vertical or lateral separation minima. This requires close coordination with the military."
"FAAO 7110.65 4-3-4","Any aircraft that violates a Presidential TFR will be intercepted by military aircraft. The controller's role is to attempt to establish communication with the violating aircraft and instruct it to exit the TFR immediately. All actions must be coordinated with the security agencies monitoring the TFR."
"FAAO 7110.65 9-2-3","When clearing a parachute jump aircraft into position, the controller must issue an advisory to the pilot when the aircraft is approximately 10 minutes from the proposed jump time. This allows the pilot to prepare for the jump and provides a final opportunity to coordinate any changes."
"FAAO 7110.65 5-5-4 Note 4","The RECAT separation matrix is more complex than the standard wake turbulence categories. For example, a Boeing 757 is in its own category (Category D) and has specific separation requirements that differ from the traditional 'Large' or 'Heavy' categories. Controllers must have the RECAT chart available for reference."
"FAAO 7110.65 10-2-1","If a pilot reports a flight control malfunction, the controller should ask for the nature of the problem and how it affects the aircraft's handling. The controller should provide a wide area for maneuvering and avoid issuing any abrupt instructions. The pilot may request a 'straight-in' approach to minimize maneuvering."
"FAAO 7110.65 10-2-5","In a hijacking situation, the pilot may be forced to communicate in a non-standard way. The controller should listen for any subtle clues or changes in voice or phraseology that might indicate duress. Any suspicion of unlawful interference should be immediately reported to a supervisor."
"FAAO 7110.65 10-3-2","The information gathered for an ALNOT includes the aircraft's call sign, type, departure point, destination, estimated time of arrival, last known position, and the color of the aircraft if known. This detailed information is crucial for an effective search and rescue operation."
"AIM 6-4-3","A flashing white light gun signal directed at an aircraft on the ground means 'Return to starting point on airport.' This signal is used to recall an aircraft that has been cleared to taxi but needs to return to the ramp for some reason."
"FAAO 7110.65 9-2-13","Military aircraft often use afterburners for takeoff and climb, which can create a significant noise impact. Controllers should be aware of their facility's procedures for afterburner use and may need to advise pilots to restrict their use over certain areas if noise abatement is a factor."
"FAAO 7110.65 5-2-17","A TCAS RA event is not considered a loss of separation by ATC, as the system is designed to be a final safety net. However, the controller must document the event and may be required to file a report detailing the circumstances that led to the RA."
"IVAO US-DIV SOP 6.2","When a controller on IVAO is handling a simulated emergency, they should add 'SIM' to their ATIS remarks. This alerts pilots connecting to the frequency that a training scenario is in progress and that they may experience simulated delays or non-standard vectoring as part of the exercise."
"FAAO 7110.65 10-2-1","If a pilot declares an emergency but is unable to communicate the nature of the problem, the controller should assume the most serious situation, such as an engine failure or fire. The controller should begin clearing the airspace and preparing for an emergency landing at the nearest suitable airport."
"FAAO 7110.65 10-2-4","If a NORDO aircraft is approaching an airport, the tower controller should use light gun signals to issue landing and taxi instructions. The controller must also ensure that other aircraft in the pattern are aware of the NORDO aircraft and give it a wide berth."
"FAAO 7110.65 2-1-20","When a Restricted Area is active, no IFR or VFR aircraft may enter without permission from the controlling agency. The controller must provide a vector around the area. If a pilot insists on flying through, the controller must advise them that they are doing so at their own risk and that separation services are not provided within the restricted area."
"FAAO 7110.65 5-9-5","The ILS critical area is marked by a sign and pavement markings. When low visibility procedures are in effect, aircraft must hold short of this line, which is further back from the runway than the normal hold short line. This is to prevent signal reflection that could interfere with the ILS localizer and glideslope."
"AIM 4-4-11","A pilot is not required to report a TCAS Traffic Advisory (TA) to ATC. A TA is for situational awareness only. The pilot is only required to report a Resolution Advisory (RA), as this involves a deviation from the current clearance."
"FAAO 7110.65 10-1-1","The controller's judgment is key in an emergency. If a situation appears to be an emergency, even if the pilot has not declared one, the controller should treat it as such. It is always better to be proactive and provide assistance than to wait for the situation to deteriorate."
"FAAO 7110.65 5-2-1","Secondary radar, or beacon radar, relies on a transponder in the aircraft. It provides the controller with more information than primary radar, including the aircraft's identity (squawk code) and pressure altitude (Mode C). Mode S transponders allow for even more data exchange, such as aircraft call sign and TCAS coordination."
"FAAO 7110.65 5-2-7","The 'IDENT' feature causes an aircraft's radar blip to 'blossom' or highlight on the controller's display. It is used as a primary method of radar identification. Phraseology: 'N12345, squawk one two three four and ident.' The controller must not ask a pilot to ident unless it is for identification or to emphasize an aircraft's location."
"FAAO 7110.65 5-1-3","When an aircraft's transponder appears to be inoperative or malfunctioning, the controller must inform the pilot. Phraseology: 'N12345, your transponder appears inoperative/malfunctioning, recycle transponder, squawk one two three four.' The controller must then use alternative methods for identification and separation."
"FAAO 7110.65 5-3-2","The primary methods for radar identification are: 1. Observing a departing aircraft within 1 mile of the takeoff runway end. 2. Observing an aircraft's position over a known point reported by the pilot. 3. Observing an aircraft's response to an 'IDENT' instruction. Once identified, the controller must inform the pilot. Phraseology: 'N12345, radar contact, [position].'"
"FAAO 7110.65 5-1-8","If radar contact is lost, the controller must inform the pilot. Phraseology: 'N12345, radar contact lost.' The controller must then transition to non-radar separation procedures and provide instructions based on the aircraft's last known position and clearance. The controller should also attempt to re-establish radar contact."
"FAAO 7110.65 5-6-2","When vectoring a departing aircraft, the controller must ensure the vector does not take the aircraft over terrain or obstructions. The initial vector should be issued as part of the departure instructions. For example: 'N12345, after departure, fly heading zero niner zero.' Vectors are used to integrate the departure into the en route traffic flow."
"FAAO 7110.65 5-6-3","Vectors can be used in the en route phase of flight for separation, weather avoidance, or to provide a more direct routing. The controller must always provide the reason for the vector. Phraseology: 'N12345, fly heading two seven zero, vector for traffic' or '...vector for weather.'"
"FAAO 7110.65 5-9-1","Approach sequencing involves arranging arriving aircraft into a safe and orderly flow to the final approach course. This is achieved using vectors (extending downwind, S-turns), speed control, and altitude restrictions. The goal is to establish a consistent spacing between aircraft before they are cleared for the approach."
"FAAO 7110.65 5-5-4","Wake turbulence separation is based on aircraft categories. The categories are SUPER (A380/AN225), HEAVY (aircraft with MTOW of 300,000 lbs or more), B757 (treated as a special category), LARGE (more than 41,000 lbs up to 300,000 lbs), and SMALL (41,000 lbs or less). Separation minima are increased when a smaller aircraft follows a larger one."
"FAAO 7110.65 5-5-4 Table 5-5-1","Example of wake turbulence radar separation: When a Small aircraft is directly behind a Heavy aircraft, 6 miles of separation is required. When a Large aircraft is behind a Heavy, 4 miles is required. A Heavy behind a Heavy requires 4 miles. A B757 behind a Heavy requires 4 miles. Controllers must know these pairings."
"FAAO 7110.65 5-6-4","Minimum Vectoring Altitude (MVA) is the lowest MSL altitude at which an IFR aircraft will be vectored by a radar controller. This altitude provides obstacle clearance. MVAs are charted on the controller's map and are not published for pilots. A controller cannot assign an altitude below the MVA unless it is for an approach or in an emergency."
"FAAO 7110.65 5-9-6","When an aircraft is conducting a pilot-navigated instrument approach (e.g., RNAV, VOR), the controller's role is to provide radar monitoring. The controller will issue advisories if the aircraft deviates significantly from the course. Phraseology: 'N12345, you appear to be left of course.' The pilot is still primarily responsible for navigation."
"FAAO 7110.65 6-3-1","Longitudinal separation is a non-radar method based on time. The standard is 10 minutes between aircraft at the same altitude. This can be reduced if navigational aids can provide accurate position reports. For example, 5 minutes between aircraft if the lead aircraft is at least 22 knots faster than the trailing aircraft."
"FAAO 7110.65 6-4-1","Lateral separation is achieved by ensuring aircraft are on different routes that are separated by a specific distance or angular difference. For example, two aircraft on different airways whose centerlines are separated by at least 8 miles. Holding patterns are also a form of lateral separation, as the holding airspace is protected."
"FAAO 7110.65 6-3-2","DME (Distance Measuring Equipment) can be used for non-radar longitudinal separation. For example, 20 miles DME separation is required between two aircraft at the same altitude using the same DME facility. This is often used in offshore or mountainous areas where radar coverage is poor."
"FAAO 7110.65 4-5-7","The Mach number technique is used for longitudinal separation of turbojet aircraft in the en route environment. A controller can clear aircraft to maintain a specific Mach number to maintain a time-based separation. For example, if the lead aircraft is maintaining Mach .82, the trailing aircraft may be assigned Mach .80 to create more spacing."
"FAAO 7110.65 5-7-1","Speed control is a primary tool for radar separation. Controllers can issue specific speed assignments to maintain or decrease separation. Phraseology: 'N12345, maintain two five zero knots' or 'N12345, reduce speed to one seven zero knots.' Pilots must advise ATC if they are unable to comply with a speed assignment."
"FAAO 7110.65 5-7-3","Standard speed restrictions apply in certain airspace. Unless otherwise authorized by ATC, aircraft must not exceed 250 knots below 10,000 feet MSL. Within 4 NM of the primary airport of a Class C or D airspace, the speed limit is 200 knots. In Class B airspace, the limit is typically 250 knots, with a 200-knot limit under the shelf."
"FAAO 7110.65 4-5-6","Altitude restrictions are used for separation and to ensure obstacle clearance. A crossing restriction is a clearance to cross a specific fix at a specific altitude. Phraseology: 'N12345, cross the ABC VOR at and maintain one zero thousand.' This ensures vertical separation from other traffic that may be on a conflicting route."
"FAAO 7110.65 7-2-1","Visual separation can be applied by a controller if they have both aircraft in sight and can ensure separation. More commonly, it is applied by a pilot. The controller must get confirmation from the pilot that they have the other aircraft in sight and will maintain separation. Phraseology: 'N12345, do you have the traffic at your 12 o'clock in sight?' ... 'N12345, maintain visual separation from that traffic.'"
"FAAO 7110.65 5-9-7","Simultaneous independent parallel approaches require that the runway centerlines be at least 4,300 feet apart. A No Transgression Zone (NTZ) of at least 2,000 feet is established between the two final approach courses. Each approach must be monitored by a dedicated controller. If an aircraft penetrates the NTZ, a 'breakout' instruction must be issued immediately."
"FAAO 7110.65 5-9-7","The breakout phraseology for a simultaneous parallel approach is critical. 'N12345, turn left/right immediately, heading [degrees], climb and maintain [altitude].' This instruction is mandatory and must be executed immediately by the pilot to avoid a potential collision with the aircraft on the adjacent approach."
"FAAO 7110.65 3-10-4","Land and Hold Short Operations (LAHSO) are an advanced procedure to increase airport capacity. A pilot must accept a LAHSO clearance; they cannot be forced to do so. The controller must provide the available landing distance. Phraseology: 'N12345, Runway 27, cleared to land, hold short of Runway 33. Available landing distance is 6,500 feet.'"
"FAAO 7110.65 3-10-4","LAHSO is not authorized under certain conditions, including on wet runways, if wind shear has been reported, or if the tailwind exceeds 3 knots. The pilot has the final authority to accept or reject a LAHSO clearance. If they reject it, the controller must provide an alternative clearance."
"FAAO 7110.65 2-1-15","Inter-facility coordination is the communication between different ATC facilities, such as a Center and an Approach Control. This is typically done via dedicated phone lines or automated systems. Coordination is required for handoffs, route changes that affect another facility's airspace, and any non-standard operation."
"FAAO 7110.65 2-1-16","A Letter of Agreement (LOA) is a formal document between two or more ATC facilities that establishes procedures for handoffs, airspace delegation, and other routine coordination. For example, an LOA might allow a TRACON to control a portion of a Center's airspace to facilitate arrivals into a busy airport. Controllers must adhere to all LOA procedures."
"FAAO 7110.65 5-4-5","A 'point out' is an action where a controller electronically identifies an aircraft on another controller's scope, but control is not transferred. This is used when an aircraft will enter another controller's airspace but will not require their control. The receiving controller must approve the point out. Phraseology (over landline): 'Point out, N12345, twenty miles west of ABC, level three five zero.'"
"FAAO 7110.65 5-4-3","A handoff must be initiated in time for it to be completed before the aircraft crosses the sector boundary. The transferring controller is responsible for ensuring the aircraft is in a stable condition (not climbing or descending rapidly) and that any pertinent information, such as assigned restrictions, is relayed to the receiving controller."
"FAAO 7110.65 5-4-3","An automated handoff is initiated by the transferring controller via the radar system, causing the aircraft's data block to flash on the receiving controller's display. The receiving controller accepts the handoff by clicking on the data block. Once accepted, the transferring controller can instruct the pilot to change frequency."
"FAAO 7110.65 5-4-4","A manual handoff is used when automation is not available. The transferring controller must coordinate verbally with the receiving controller over a landline. The coordination must include the aircraft's call sign, type, position, altitude, and any other relevant information. The receiving controller must verbally accept the handoff."
"FAAO 7110.65 5-3-3","If a pilot is flying a specific route and reports over a fix that is not on that route, the controller must take action to re-identify the aircraft. This may involve asking for a new position report, vectoring the aircraft, or using other identification methods. The controller cannot assume the aircraft is the one they were tracking."
"FAAO 7110.65 5-1-8","If radar contact is lost with an IFR aircraft, the controller must instruct the pilot to 'resume own navigation' if they were previously being vectored. The controller must also provide the aircraft's last known position and issue a clearance to a fix from which the pilot can continue the flight. Non-radar separation must be applied immediately."
"FAAO 7110.65 5-6-2","A vector must not be issued that would take an aircraft across the final approach course at an angle greater than 30 degrees. The vector should be designed to allow the pilot to smoothly intercept and join the final approach course. This is a critical parameter for a stabilized approach."
"FAAO 7110.65 5-9-2","When clearing an aircraft for an approach while it is on a vector, the controller must provide the aircraft's position relative to a fix on the approach. Phraseology: 'N12345, seven miles from the final approach fix, turn right heading two five zero, maintain three thousand until established on the localizer, cleared ILS Runway 27 approach.'"
"FAAO 7110.65 5-5-4 Table 5-5-1","The B757 is in its own wake turbulence category because it generates unusually strong vortices for its weight class. When a Small aircraft is following a B757, 5 miles of separation is required. This is more than the 4 miles required for a Small following a Large jet."
"FAAO 7110.65 5-6-4","If a pilot reports unable to maintain the MVA, the controller must take immediate action. This may involve issuing a climb instruction or vectoring the aircraft to an area with a lower MVA. The controller cannot allow an aircraft to fly below the MVA except when on a published segment of an approach."
"FAAO 7110.65 6-3-1","In a non-radar environment, if two aircraft are on the same course, the trailing aircraft must be instructed to report leaving an altitude for a lower altitude before the lead aircraft is cleared to descend through that same altitude. This ensures vertical separation is maintained."
"FAAO 7110.65 6-4-1","Lateral separation in a non-radar environment can be established by requiring aircraft to fly on routes that are separated by a minimum of 45 degrees. This requires that the aircraft are using the same navigation aid as the vertex of the angle."
"FAAO 7110.65 3-7-3","Time-based separation at takeoff can be used for aircraft departing from the same runway. For example, a 2-minute interval is required between takeoffs if the lead aircraft is at least 44 knots faster than the trailing aircraft. This ensures the aircraft are separated before they enter the next sector."
"FAAO 7110.65 5-7-2","When assigning a speed reduction, the controller should be aware of the aircraft's performance capabilities. A large speed reduction may be difficult for a clean-configured jet at high altitude. Phraseology for a pilot unable to comply: 'Unable to maintain two five zero knots at this altitude.'"
"FAAO 7110.65 4-5-6","A 'block altitude' clearance assigns a range of altitudes for an aircraft to operate within. Phraseology: 'N12345, maintain block flight level two five zero through two seven zero.' This can be used to allow an aircraft to find a smoother ride or to facilitate climbs and descents through another aircraft's altitude."
"FAAO 7110.65 7-2-1","When a pilot accepts responsibility for visual separation, the controller is not relieved of their responsibility to provide separation from other IFR or VFR aircraft. The controller must continue to monitor the situation and be prepared to intervene if necessary."
"FAAO 7110.65 5-9-8","Simultaneous dependent parallel approaches require runway centerlines to be between 2,500 and 4,300 feet apart. Aircraft are staggered on the final approach courses, with a minimum of 1.5 miles of diagonal separation required. This procedure does not require a dedicated NTZ monitor."
"FAAO 7110.65 3-10-4","The pilot's readback of a LAHSO clearance must be verbatim, including the hold short point. If the pilot's readback is incorrect, the controller must restate the full clearance and obtain a correct readback before the aircraft crosses the landing threshold."
"FAAO 7110.65 2-1-15","Coordination between the tower and approach control is essential for managing arrivals and departures. The tower must inform the approach controller of any runway changes or airport closures. The approach controller must provide the tower with an accurate sequence of arriving aircraft."
"FAAO 7110.65 2-1-16","An LOA will specify the procedures for transferring control and communication. For example, it may state that aircraft landing at a satellite airport are automatically handed off from the Center to the Approach control at a specific altitude or fix, without the need for verbal coordination on every aircraft."
"FAAO 7110.65 5-4-5","A point out is not a transfer of control. The controller who initiated the point out is still responsible for separation. The receiving controller's approval of the point out simply acknowledges that they are aware of the traffic."
"FAAO 7110.65 5-4-3","The phraseology for a frequency change after a handoff is 'Contact [facility name] on [frequency].' The pilot is expected to read back this instruction and switch to the new frequency. The transferring controller should monitor the aircraft until it is established on the new frequency."
"FAAO 7110.65 5-4-3","If an automated handoff is rejected by the receiving controller, the data block will flash back to the transferring controller. The transferring controller must then coordinate verbally to resolve the issue before the aircraft crosses the sector boundary."
"FAAO 7110.65 5-4-4","In a non-radar environment, handoffs are based on time and position estimates. The transferring controller will provide an estimated time for the aircraft to cross the sector boundary. The receiving controller must acknowledge this and be prepared to assume control at the specified time or fix."
"FAAO 7110.65 2-6-6","Controllers must advise pilots of hazardous weather that may impact operations within 150 NM of their sector. This includes SIGMETs, Convective SIGMETs, AIRMETs, Center Weather Advisories (CWAs), and urgent PIREPs. The advisory should be broadcast on all frequencies, except for emergency frequencies. Phraseology: 'Attention all aircraft, hazardous weather information for [area] is available on HIWAS, Flight Watch, or Flight Service frequencies.'"
"FAAO 7110.65 3-1-8","When a pilot reports wind shear, or when a Low Level Wind Shear Alert System (LLWAS) alert is received, the controller must issue an alert to all arriving and departing aircraft. The alert should be broadcast for 20 minutes following the report. Phraseology: 'Wind shear alert, [location], [type of aircraft] reported a 20-knot loss at 500 feet on final.'"
"AIM 7-1-26","The Low Level Wind Shear Alert System (LLWAS) is a network of sensors around an airport that detects wind shifts associated with microbursts and wind shear. When an alert is triggered, it appears on the controller's display. The controller must relay this information to pilots, for example: 'Wind shear alert, centerfield wind 270 at 10, north boundary wind 350 at 25.'"
"FAAO 7110.65 2-6-3","A microburst is a particularly dangerous, localized downdraft. When a microburst is detected by weather radar or reported by a pilot, controllers must issue an alert. Phraseology: 'Microburst alert, a 40-knot loss was reported on the final approach course.' Controllers should avoid vectoring aircraft into areas of known microburst activity."
"FAAO 7110.65 2-6-4","When a thunderstorm or other convective activity is affecting the airspace, controllers should provide advisories on the location, intensity, and movement of the weather. Pilots may request to deviate from their route to avoid the weather. Controllers should approve these deviations whenever possible, ensuring separation is maintained from other aircraft. Phraseology: 'Attention all aircraft, a line of thunderstorms is located 20 miles west of the airport, moving east at 20 knots.'"
"FAAO 7110.65 2-6-2","Controllers must solicit and disseminate Pilot Reports (PIREPs) of icing conditions. When a pilot reports icing, the controller must ask for the type, intensity, and altitude of the icing. This information must be relayed to other aircraft and to the weather service. Phraseology: 'N12345, report icing conditions.'"
"AIM 7-1-22","Turbulence is reported in intensities of light, moderate, severe, or extreme. When a pilot reports turbulence, the controller must ask for the altitude and location of the event. This PIREP is then broadcast to other aircraft and facilities. Phraseology: 'Attention all aircraft, moderate turbulence reported at flight level three one zero, 30 miles east of the ABC VOR.'"
"FAAO 7110.65 3-3-2","Runway condition reports are critical for pilot braking action estimates. Controllers relay braking action reports from pilots using the terms 'good,' 'good to medium,' 'medium,' 'medium to poor,' 'poor,' or 'nil.' A report of 'nil' braking action requires the controller to cease operations on that runway. Phraseology: 'Braking action advisory, a Boeing 737 reports braking action poor on Runway 27.'"
"FAAO 7110.65 7-4-4","When the airport weather is below basic VFR minimums (1,000-foot ceiling and 3 miles visibility), Special VFR (SVFR) operations may be authorized. This allows VFR aircraft to operate within the surface area if they can remain clear of clouds and have at least 1 mile of flight visibility. SVFR is only approved if IFR traffic permits."
"14 CFR 91.175","The pilot, not the controller, is responsible for determining if weather conditions are at or above the minimums for a specific instrument approach. The controller's responsibility is to provide the latest official weather report to the pilot. The pilot makes the final decision to begin or continue an approach based on that information."
"FAAO 7110.65 3-5-2","Progressive taxi instructions are issued when a pilot is unfamiliar with the airport or when the taxi route is complex. The controller provides step-by-step instructions. Phraseology: 'N12345, turn left on Taxiway Charlie. Now turn right on Alpha. Hold short of Runway 27.' This requires more frequency time but enhances safety."
"FAAO 7110.65 3-1-15","Airport Surface Detection Equipment, Model X (ASDE-X) or Airport Surface Surveillance Capability (ASSC) is a system that provides a detailed map of the airport surface on the controller's display. It tracks the position of aircraft and vehicles, helping to prevent runway incursions, especially in low visibility."
"FAAO 7110.65 3-7-2","Runway incursion prevention is a top priority. Controllers must issue clear, concise instructions and receive a correct readback for all runway crossing and hold short instructions. They must maintain constant visual or radar surveillance of the runways and be alert for any unauthorized movements."
"FAAO 7110.65 3-1-5","Vehicles operating in the airport movement area must be controlled by the appropriate ATC position (Ground or Tower). Vehicle drivers must have two-way radio contact with ATC and must receive explicit instructions to enter, cross, or operate on any runway or taxiway. Phraseology: 'Airport 1, proceed via Taxiway Alpha to the VOR. Hold short of Runway 27.'"
"FAAO 7110.65 3-3-1","Controllers must be aware of all airport construction and its impact on operations. This information is published in NOTAMs. The controller must coordinate with airport operations to ensure that closed taxiways and runways are properly marked and that all personnel are aware of the active work areas."
"FAAO 7110.65 2-1-22","Controllers operate various airport lighting systems. This includes runway edge lights, taxiway lights, and approach lighting systems (e.g., ALSF-2, MALSR). The intensity of the lighting can be adjusted as requested by pilots or as required by visibility conditions. For example, runway lights are typically set to high intensity during the day and lower at night."
"AIM 2-1-2","The Precision Approach Path Indicator (PAPI) and Visual Approach Slope Indicator (VASI) are visual aids that provide glideslope guidance to pilots. A PAPI shows four lights in a row: 'Four whites, you're high; four reds, you're low.' Two white and two red indicates the correct glideslope. While pilots use these, controllers must be aware if they are reported as inoperative."
"FAAO 7110.65 10-4-4","During an emergency, the tower controller is the primary link to the Airport Rescue and Fire Fighting (ARFF) team. The controller must provide the ARFF commander with the aircraft's location, type, number of persons on board, and amount of fuel remaining. This information is critical for planning the emergency response."
"AIM 7-5-12","Bird activity is a significant hazard. The Airport's Bird/Wildlife Aircraft Strike Hazard (BASH) program coordinates mitigation efforts. Controllers must issue advisories when bird activity is observed or reported. Phraseology: 'Attention all aircraft, bird activity reported in the vicinity of the approach end of Runway 27.'"
"FAAO 7110.65 3-3-3","Foreign Object Debris (FOD) on a runway or taxiway is a serious safety hazard. If a pilot or vehicle reports FOD, the controller must notify airport operations to have it removed. If it is on a runway, the controller should not allow any aircraft to use that runway until it is confirmed to be clear."
"FAAO 7110.65 3-1-13","Push-back procedures from a gate are typically managed by the airline's ground crew, often on a separate ramp control frequency. However, the ground controller must approve the push-back into a movement area (taxiway). Phraseology: 'N12345, push-back approved, advise when ready to taxi.'"
"FAAO 7110.65 5-1-6","Gate hold procedures are used to manage traffic flow and reduce airborne holding. The tower or clearance delivery will instruct aircraft to hold at the gate. Phraseology: 'N12345, hold for release, expect departure at one eight three zero Zulu.' This is part of a larger traffic management initiative."
"FAAO 7110.65 5-1-6","A Ground Stop (GS) is a traffic management initiative that halts all traffic destined for a specific airport. A Ground Delay Program (GDP) assigns aircraft departure times to manage volume. Local controllers are responsible for implementing these programs by issuing gate holds and release times."
"FAAO 7110.65 3-1-14","De-icing operations are common in winter conditions. Controllers must coordinate with the de-icing facility to manage the flow of aircraft to and from the de-icing pads. A pilot's 'holdover time' (the time the de-icing fluid is effective) is critical, so controllers should try to expedite their departure after de-icing is complete."
"FAAO 7110.65 10-2-7","Fuel dumping is done when an aircraft needs to reduce its weight for landing. The controller must vector the aircraft to a designated fuel dumping area, typically at a high altitude and away from populated areas. The controller must broadcast a warning to other aircraft and apply separation standards to the airspace where fuel is being dumped."
"AIM Chapter 5","While the pilot is responsible for aircraft weight and balance, it affects ATC operations. A heavily loaded aircraft will have a slower climb rate and may require a longer takeoff roll. This must be considered by the controller when sequencing departures and planning climbs."
"FAAO 7110.65 2-6-6","A Center Weather Advisory (CWA) is an unscheduled weather advisory for conditions beginning within the next 2 hours. CWAs are issued by the Center Weather Service Unit (CWSU) located at each ARTCC. Controllers must broadcast CWAs to alert pilots of short-term, hazardous weather conditions."
"FAAO 7110.65 3-1-8","When issuing a wind shear alert based on pilot reports, the controller must include the position of the report and the altitude. This gives the following pilot a precise location to expect the phenomenon. For example: 'Wind shear alert, a Boeing 737 reported a 15-knot gain on a 2-mile final.'"
"AIM 7-1-26","The LLWAS is particularly effective at detecting the gust fronts associated with thunderstorms. An alert from the LLWAS is a strong indicator of potential microburst activity, and controllers must treat it with high priority, issuing immediate alerts to aircraft."
"FAAO 7110.65 2-6-4","Controllers should not vector an aircraft into an area of known severe weather. If a pilot insists on flying through such an area, the controller should advise them that they are doing so at their own risk and that radar services may be terminated. Phraseology: 'N12345, unable to provide vectors through that area of weather. Deviation is at your own risk.'"
"AIM 7-1-21","Icing PIREPs are critical for flight safety. When a pilot reports icing, the controller should ask for the outside air temperature if possible. This helps other pilots and meteorologists determine the atmospheric conditions conducive to icing."
"FAAO 7110.65 2-6-2","When disseminating a turbulence PIREP, the controller must include the aircraft type. This is because a given atmospheric condition may cause severe turbulence for a small aircraft but only light turbulence for a heavy jet. This context is important for other pilots."
"FAAO 7110.65 3-3-2","A Runway Condition Code (RCC) is a number from 0 to 6 that describes the runway condition (e.g., dry, wet, icy). Controllers provide the RCCs to pilots, who use them to calculate their aircraft's expected landing or takeoff performance. For example: 'Runway 27 condition codes are five, five, five.'"
"14 CFR 91.155","In Class G airspace, VFR weather minimums are typically 1 mile visibility and clear of clouds. However, above 10,000 feet MSL, they increase to 5 miles visibility. Controllers must be aware of the airspace classification and applicable weather minimums when providing services to VFR aircraft."
"AIM 5-4-20","If the reported weather is below the published minimums for an approach, the pilot is not authorized to begin the final approach segment. However, if the pilot has already started the final approach segment when the weather drops, they are permitted to continue the approach to the Decision Altitude (DA) or Minimum Descent Altitude (MDA)."
"FAAO 7110.65 3-5-2","A request for 'progressive taxi' indicates the pilot is unfamiliar with the airport. The controller must provide clear, turn-by-turn instructions until the pilot is confident of their position. This is a high-workload procedure but is essential for safety."
"FAAO 7110.65 3-1-15","ASDE-X provides safety alerts to controllers, such as predicting a potential runway collision. The system will flash and provide an audible alarm, allowing the controller to take immediate action to prevent an incident."
"FAAO 7110.65 3-7-2","A key runway incursion prevention technique is to avoid issuing a takeoff clearance until the preceding aircraft has passed a certain point on the runway or is airborne. This 'one aircraft on the runway at a time' philosophy is a cornerstone of tower control."
"FAAO 7110.65 3-1-5","Vehicle drivers on the movement area must use standard aviation phraseology and read back all instructions. A common error is for a vehicle to acknowledge with 'roger' instead of a full readback of the instruction, which is not acceptable for runway crossing or hold short instructions."
"FAAO 7110.65 3-3-1","When a taxiway is closed, controllers must ensure it is not used. They should issue explicit instructions to taxi via an alternative route. If a pilot requests to use a closed taxiway, the controller must deny the request and state the reason. Phraseology: 'N12345, unable, Taxiway Bravo is closed for construction.'"
"AIM 2-1-9","The Runway End Identifier Lights (REIL) are a pair of flashing white lights on either side of the runway threshold. They are used to help pilots identify the approach end of a runway, especially in low visibility. The tower controller can adjust their intensity or turn them on and off."
"AIM 2-1-2","A PAPI system has a very precise vertical beam. If a pilot reports the PAPI is unusable or providing an incorrect indication, the controller must notify airport operations to have it checked. The controller should also advise other pilots that the PAPI is unreliable."
"FAAO 7110.65 10-4-4","In an emergency, the controller must ask the pilot for the number of 'souls on board' (SOB). This term includes all persons on the aircraft, both crew and passengers. This information is passed to the ARFF commander to prepare for a potential rescue operation."
"FAAO 7110.65 3-1-7","When bird activity is reported, the controller should issue an advisory for at least 15 minutes. If the activity is persistent, it may be included in the ATIS broadcast. For example: 'Caution, flock of birds reported in the vicinity of the departure end of Runway 27.'"
"FAAO 7110.65 3-3-3","If FOD is reported, the controller must determine its exact location and nature if possible. If it is something small and easily retrievable, airport operations may be able to remove it quickly. If it is a large piece of debris, the runway or taxiway may need to be closed for an extended period."
"FAAO 7110.65 3-1-13","Some airports have designated 'powerback' positions where aircraft can use reverse thrust to push back from the gate. This requires specific approval from ATC, as the jet blast can be a hazard to other aircraft and ground personnel."
"FAAO 7110.65 5-1-6","When a Ground Delay Program is in effect, aircraft are assigned an 'Expect Departure Clearance Time' (EDCT). Pilots are expected to be ready for departure at their EDCT. The controller is responsible for sequencing these departures according to the assigned times."
"FAAO 7110.65 3-1-14","After de-icing, an aircraft has a limited 'holdover time' before the fluid loses its effectiveness. If the aircraft's departure is delayed beyond this time, it must return for re-treatment. Controllers must be aware of this and try to get de-iced aircraft airborne as quickly as possible."
"FAAO 7110.65 10-2-7","When an aircraft is dumping fuel, the controller must apply a minimum of 5 miles of lateral separation or 2,000 feet of vertical separation to all other traffic from the fuel dumping area. The advisory to other aircraft should be broadcast for at least 3 minutes after the dumping has stopped."
"FAAO 7110.65 5-5-4","An aircraft's weight category (e.g., Heavy, Large, Small) is a key factor in determining the required wake turbulence separation. The controller must know the weight category of each aircraft they are controlling to apply the correct separation standard."
